SampleID	location	pedigree	rep_number	plot_number	Batch	Month	day	year	Temperature [C]	Dew Point [C]	Relative Humidity [%]	Solar Radiation [W/m2]	Rainfall [mm]	Wind Speed [m/s]	Wind Direction [degrees]	Wind Gust [m/s]	Soil Temperature [C]	Soil Moisture [%VWC]	Grower	Date Recieved	Date Reported	E Depth	1:1 Soil pH	WDRF Buffer pH	1:1 S Salts mmho/cm	Texture No	Organic Matter LOI %	Nitrate-N ppm N	lbs N/A	Potassium ppm K	Sulfate-S ppm S	Calcium ppm Ca	Magnesium ppm Mg	Sodium ppm Na	CEC/Sum of Cations me/100g	%H Sat	%K Sat	%Ca Sat	%Mg Sat	%Na Sat	Mehlich P-III ppm P	% Sand	% Silt	% Clay	Texture
B7	NA	NA	NA	NA	3166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B8	NA	NA	NA	NA	3166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEH1-1-106	DEH1	B73/MO17	1	106	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-112	DEH1	B14A/OH43	1	112	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-116	DEH1	B73/PHM49	1	116	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-136	DEH1	B37/H95	1	136	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-13	DEH1	PHW52/PHN82	1	13	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-154	DEH1	B37/OH43	1	154	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-173	DEH1	CG44/CGR01	1	173	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-187	DEH1	F42/OH43	1	187	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-190	DEH1	PHW52/PHM49	1	190	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-198	DEH1	2369/LH123HT	1	198	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-255	DEH1	B37/OH43	1	255	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-302	DEH1	PHW52/PHN82	1	302	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-304	DEH1	B37/H95	1	304	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-31	DEH1	B14A/MO17	1	31	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-331	DEH1	B14A/OH43	1	331	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-345	DEH1	B14A/MO17	1	345	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-35	DEH1	B73/PHN82	1	35	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-360	DEH1	B37/MO17	1	360	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-361	DEH1	2369/LH123HT	1	361	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-363	DEH1	PHG39/PHN82	1	363	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-369	DEH1	B73/PHM49	1	369	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-391	DEH1	B73/MO17	1	391	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-399	DEH1	CG44/CGR01	1	399	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-39	DEH1	F42/MO17	1	39	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-40	DEH1	CG119/CG108	1	40	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-414	DEH1	B14A/H95	1	414	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-422	DEH1	B73/PHN82	1	422	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-439	DEH1	F42/MO17	1	439	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-469	DEH1	F42/H95	1	469	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-477	DEH1	LH74/PHN82	1	477	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-495	DEH1	PHW52/PHM49	1	495	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-500	DEH1	F42/OH43	1	500	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-6	DEH1	F42/H95	1	6	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-75	DEH1	PHG39/PHN82	1	75	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-86	DEH1	B37/MO17	1	86	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-91	DEH1	LH74/PHN82	1	91	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-1-94	DEH1	B14A/H95	1	94	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-505	DEH1	F42/MO17	2	505	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-514	DEH1	B73/PHM49	2	514	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-522	DEH1	F42/H95	2	522	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-530	DEH1	B37/H95	2	530	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-566	DEH1	PHW52/PHN82	2	566	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-580	DEH1	B73/PHN82	2	580	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-585	DEH1	CG44/CGR01	2	585	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-596	DEH1	F42/OH43	2	596	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-610	DEH1	2369/LH123HT	2	610	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-614	DEH1	PHW52/PHM49	2	614	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-617	DEH1	B14A/MO17	2	617	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-620	DEH1	B14A/H95	2	620	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-629	DEH1	B14A/OH43	2	629	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-637	DEH1	B37/MO17	2	637	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-655	DEH1	B37/OH43	2	655	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-689	DEH1	LH74/PHN82	2	689	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-713	DEH1	B73/MO17	2	713	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-719	DEH1	CG119/CG108	2	719	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-720	DEH1	PHG39/PHN82	2	720	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-751	DEH1	B14A/MO17	2	751	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-756	DEH1	B73/PHN82	2	756	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
DEH1-2-780	DEH1	F42/H95	2	780	3166	7	9	2019	22.4412820512821	13.9510743801653	68.647735042735	235.802167419859	0.021297412265154	0.367206284153005	28.8538461538462	6.05608695652174	23.9104121204909	NA	Randy Wisser	08/23/19	08/27/19	8	6.6	7.2	0.13	1	2.4	28.6	69	125	15	487	75	8	3.4	0	9	71	18	1	136	81	9	10	Loamy Sand
